scene,cgi_count,median,mean,mse,mae,<10,<20,<30,<40,>40
中小学,2,4.192522996614764,4.192522996614764,1.56443886611957e-05,0.0030156275793187678,100.0%,100.0%,100.0%,100.0%,0.0%
乡镇,10,4.277177655491975,6.740430455749824,0.000197687622338261,0.009973897421240125,70.0%,90.0%,100.0%,100.0%,0.0%
医院,94,9.849408769089726,14.37786410198566,0.0005078980729430605,0.015157732134238464,51.0%,80.0%,88.0%,95.0%,5.0%
党政军机关,19,10.401699613605913,13.485573980479606,0.0001175438323949445,0.007773757645006043,42.0%,79.0%,95.0%,95.0%,5.0%
郊区道路,44,11.948405761632518,13.996204681492456,0.0003225090151237506,0.012799781900057428,41.0%,80.0%,93.0%,98.0%,2.0%
写字楼,180,12.58001607795218,18.141966471514195,0.00025326879387685793,0.011078090221220359,37.0%,69.0%,85.0%,91.0%,9.0%
企事业单位,28,13.480872401543383,23.165454604695277,0.00044139972096859237,0.014304841796137247,39.0%,79.0%,89.0%,89.0%,11.0%
城区道路,285,14.149575890624366,20.317392719873716,0.00034986978292992455,0.012411970306240598,40.0%,64.0%,79.0%,86.0%,14.0%
高层居民区,123,14.304182279081651,22.026509140771065,0.00022499287963278298,0.009446989991340035,41.0%,63.0%,76.0%,84.0%,16.0%
星级酒店,55,14.972176369312775,25.79801027670211,0.00021613729793072263,0.010215825571410717,29.0%,65.0%,80.0%,84.0%,16.0%
休闲娱乐场所,5,15.130937893049277,32.59534197999035,0.0002231933374571812,0.010818883392792359,0.0%,60.0%,60.0%,60.0%,40.0%
工业园区,11,15.350055743662649,24.36259555487094,0.0002567314899384408,0.01050156295276096,27.0%,73.0%,73.0%,82.0%,18.0%
商业中心,147,15.579773202225255,22.725691724674633,0.00023387246895463916,0.01013003874180703,32.0%,58.0%,73.0%,79.0%,21.0%
低层居民区,340,16.898845794398007,24.533977470733397,0.000236757395403362,0.009964159494561486,30.0%,57.0%,70.0%,82.0%,18.0%
高校,18,18.934915152045477,25.09220757596695,0.00010105183898209115,0.007203481344215699,22.0%,50.0%,67.0%,78.0%,22.0%
集贸市场,1,20.59021405154093,20.59021405154093,9.128528908594965e-05,0.007396101756571098,0.0%,0.0%,100.0%,100.0%,0.0%
地铁,66,22.734569039951396,22.579394768448573,0.00010993416576577145,0.006827015352387891,30.0%,44.0%,70.0%,86.0%,14.0%
其他,30,24.124431012236336,26.51283621450968,0.0001251649509277611,0.00762751818092321,20.0%,43.0%,60.0%,77.0%,23.0%
风景区,48,26.461006237718408,35.46231175827456,0.0001212088141849045,0.006603705586269187,23.0%,38.0%,56.0%,67.0%,33.0%
高铁,7,38.61826769075121,73.4851439166126,0.0009369141871126408,0.022370471483544485,0.0%,0.0%,0.0%,57.0%,43.0%
高速公路,1,63.71051149122054,63.71051149122054,5.537985605493907e-05,0.0035748648600058136,0.0%,0.0%,0.0%,0.0%,100.0%
